USD; 1.13165; 1.14862; 1.10902
GBP; 0.88813; 0.90145; 0.87037
DKK; 7.4683; 7.5803; 7.3189
SEK; 10.6514; 10.8112; 10.4384
JPY; 122.22; 124.05; 119.78
CHF; 1.11776; 1.13453; 1.09540
NOK; 9.7958; 9.9427; 9.5999
CAD; 1.50568; 1.52827; 1.47557
AUD; 1.61781; 1.64208; 1.58545
